MsgID,MsgBody,roberta_sentiment
'kxey1bk','100%. Good thing we get MLBtv for free. Id he livid paying $150 and still not getting to see my team.',Positive
'kxf758a','I use windscribe. Works for me.',Positive
'kxf9ctx','I’m happy if mine is below 60 (usually closer to 70-80) so I’d say you’re doing just fine.',Positive
'kxffadv','Agree! Tailscale is great',Positive
'kxfx35b','If I can get a steady 350 Mbps or even anything in the 200-350 range consistently I’ll be happy with that especially if it keeps the ping under 60 ms or less. Right now I think it just keeps flipping to LTE because I’m on the fringe of the tower so it gets a stronger signal there and that’s why it drops to 25-50 Mbps and a ping at 70-110.',Positive
'kxfyfxt','They can connect but cannot take advantage of that speed until they update the firmware from what I read. One of the post here showed a new firmware and hes getting 900 + downloads on the gateway. Pretty awesome.',Positive
'kxgbudy','I was happy with my TMHI but I just went back to Spectrum. I originally switched because Spectrum had raised my rate for 300/10 to $80/month and I got TMHI for $40. My new promotional rate (24 mo. price lock) from Spectrum for 500/20 is $50/mo. The actual Spectrum speed that Im getting is 600/24. Plus I got a $100 credit. I could have gotten a mobile phone line free for 1 year with the Internet but decided against it.  My TMHI service was good until recently when it kept dropping for a few minutes at a time to speeds less than 10 Mbps. I also was worried that if T-Mobile had an outage I would lose both my phone and Internet service.  The T-Mobile service on your phone might be different than you get with TMHI. In my case I get poor data speeds on my phone at home but got much better speeds with TMHI. You cant really tell until you try it. I do get 1.5G data speeds on my phone in locations not far from my home.  When you call Spectrum to cancel they will probably offer you a much better price than youre currently paying although the price-lock period might vary.',Positive
'kxgfrnx','That’s cool i hope they do ours here one day an updated firmware like his. ',Positive
'kxh99rr','Yeah I was happy to cut ties with Xfinity.',Positive
'kxhzaa6','Well that three options are good start.',Positive
'kxi2ifj','I use Seattle or Los Angeles server on Nord vpn. Not one issue.  Nord works great with mlb',Positive
'kxidwz8','So I switched before anyone replied and its performing better speed is 25-50 packet loss has been 15% at the highest out of 10 tests. Im gonna keep trying it and see if that might be worth running instead of 5g',Positive
'kxie87i','#3 is probably the most important point for me. Is this not the case for older TMHI plans?',Positive
'kxjc5aa','If I can get this speed or even half of it consistently I’ll be thrilled. I just need it to stabilize enough to be functional',Positive
'kxjw65p','Hey there! Feel free to message us to learn more about Lumos Fiber Internet! ',Positive
'kxk0hlk','I must be in a really good area for tmobile cause i get 350/100 with 0 packet loss',Positive
'kxk79he','Antenna could help depending on what direction the noise is coming from.  You can try to put baking sheets/pans behind your gateway(pointing towards tower) to see if things improve.  Your other stats are pretty good.  What are the lte stats?',Positive
'kxkfv6t','Thank you for the info! Do u think just the router will suffice?',Positive
'kxwl2t7','Good to know',Positive
'kxwr2jn','Those speeds must be nice! We caved and paid Mediacom to run fiber to our house 700ft off the road for $3200 T-Mobile will be a great backup but I only wish I had some of great speeds most of you seem to get with the service.  Was getting 400Mbs down for a moment when I could get N41 with my MIMOs but now only 90Mbps with N71 and B66 on a good day. Then theres depri.....',Positive
'kxwuptg','Ive not had any issues with Google devices and both gateways that Ive used.',Positive
'kxwxmdg','I be happy at least 300 download 15 upload.',Positive
'kxxgk6q','I briefly had a G4AR & 5688W side-by-side a few months back and the Arcadyan got terrible throughput compared to the Sagemcom. Like 1/10th the DL & 3x latency.   My Sag has been just fine ever since getting ~300-400mbit/s & 30ms depending on the time of day (I’m on a high traffic tower I definitely noticed the recent QCI upgrade during midday use).',Positive
'kxxi4zf','As a data point adding that I was B66/N41 now after FW revision seeing B2/N41. Pings are about the same marginally better speeds about the same a little better upload 650/100.',Positive
