MsgID,MsgBody,roberta_sentiment
'kwuy0qo',internal problem centurylink network system notify bill unpaid despite fact pay tech go report lock nonpayment already report problem fix someone knowledge administrative access system drone answer phone next time insist escalate phone call people answer really know read script completely unable solve problems fit solutions get bottom script send tech stock answer get call queue become someone elses problem someone know think even allow think fix,Negative
'kww9cet',pod complete trash come least,Negative
'kwwc6h3',denver service degrade day entirely chat rep say nothing report cant get anyone week,Negative
'kwwwypo',dear god problem isp part core competency,Negative
'kwx6wof',im spot although apparently didnt get price lock cl up bill per month year ago router well orbi look quantum back increase bill time cs seem mess decide wait,Negative
'kwxtmb6',client pod arent greatest band steer,Negative
'kwz3tzk',wasnt able get blink cameras connect even use iot connect mode thats suppose help attach old router run separate wifi,Negative
'kwzdoe8',thank reco pod days first day pretty terrible might see track older router someone try,Negative
'kwzdq7q',thank reco pod days first day pretty terrible might see track older router someone try,Negative
'kx0l11i',tech tell subject advertisements give plenty warn eventually account close unfortunately,Negative
'kx0w04x',vlan tag dig nooooo centrylink trash,Negative
'kx1kxja',transfer cl qf well lose acp loyalty discount go xfinity im pay mbps regular price without discount work well say promise get virtual card isnt decent deal,Negative
'kx20zfe',finally admit since switch fandango centurylink clients trouble log cant log either,Negative
'kx2ph2y',able resolve connect directly rather go wifi pod security settings disable pod havent able get work needle say ditch,Negative
'kx5emby',crap yes lg oled practically useless since switch quantum fiber everything else work fine finally get aroound pick router leave im go use tvs wifi antenna essentially run cable router port back tv yes know onlky nic load better work im pa hiss yeah thats right pa hiss quantum fiber fuck lg right ass,Negative
'kx88j0t',centurylink block email go website unblock give error message fill information unblock account enter button nothing click without mail two weeks,Negative
'kx89l0d',try many different browsers computers cant make unblock page work century link block email two weeks get error message tell try,Negative
'kx9fa66',get cl fiber set last summer think set price q fiber guy think lie stuff way house set need stupid wifi pod things go bring us say speed would probably go q hop worry make mistake sign q cancel cl bill anything say far hope double pay internet bill month,Negative
'kx9km7h',ditch centurylink router use eero pro connect directly gpon still get message little different mine external link alert proceed caution click link lead outside centurylink email please cautious could potentially phishing attempt contain suspicious link centurylink email never ask,Negative
'kxa944y',literally cant static ip service seem dumb also know clink entirely surprise,Negative
'kxbbrr4',get money government get everyone online fail didnt give money back government fcc send main build tell longer allow charge internet shut permanently,Negative
'kxgri5l',configure least try way nighthawk directly connect via ethernet cable ont device connect except switch port nighthawk factory reset nighthawk router configure vlan tag pppoe doesnt work update firmware netgear try still doesnt work router cable defective youre something else wrong simplify everything follow basic instructions,Negative
'kxhab70',nighthawk pppoe login plug ont dosent work try different port pppoe login disconnect centrylink router,Negative
'kxhisqr',thank advice get touch another tech indeed press button restore internet somehow didnt reactivate go ive learn lesson infuriate customer service call ive ever,Negative
'kxhobun',keep say post incorrect techs drop install without warn may charge later date clearly seem take pride work defend centurylink say please understand situation actually customers consistently frustrate,Negative
'kxldl4z',update post correct ont mistake old ont work plug directly unifi longer tech take away also dont know model fiber cable currently go directly ethernet go unifi system,Negative
'kxly69y',ask one support reps possible couldnt find anything wrong equipment service rep property refuse,Negative
'kxlz6xd',exact problem modem mn get repair appointment tomorrow sure go try customer service complaint ticket open last tech say pretty sure network side drop theres nothing,Negative
