MsgID,MsgBody,roberta_sentiment
'kwvj0pe',centurylink fiber circuit last months time unusable switch things great,Positive
'kwvjjtq',smart nid really nice minor tweak issue junk glad do,Positive
'kwvk4i7',pod waaaaaay better even party router waaaaaay batter,Positive
'kwvyyl0',run ethernet backhaul pod youll even better experience devices connect last pod,Positive
'kww5rck',likely install new ont smartnid router functionality fortunately put transparent bridge mode continue use superior router typically include pod seem popular customers everything ive read isnt complimentary work documentation poor quantums solution problems swap happy centurylink fiber service asus router little fearful migration plan everything work well dont want upset apple cart,Positive
'kwwqenc',leave mine well keep router decline pod tech say roll new smart nids end summer along multigig service decide wait multigig switch smart nid biggest difference support get human much easier quicker quantum chat support actually able fix connection well sure faster fix outage,Positive
'kwwxt93',router go pod super happy thus far old house plaster wall cant get signal across house upstairs entry,Positive
'kwx1mtx',asus rog rapture https super happy rat square feet also support aimesh case create mesh network range say range issue though best router own far best buy promotion right bring old router recycle give new router find ancient one like knock price lol,Positive
'kwx5eq8',look get instal next week easy setup,Positive
'kwx5khq',cheap easy,Positive
'kwy7rst',sure youre get rx thats really good ont range b class theres way youre get dbm exact typical split metrics dbm loss depend olt output could run multiple split daisy chain well loss connectors sure lumen layout look like could also specific area https https tx run dbm depend olt dbm also average fluctuate dont think signal anything issue im currently dbm ps already ont swap didnt solve issue new one prob better optical spool inside since run slightly better signal one issue areas prob local configuration problem seem likely since central fl transparent bridge mode days upload throughput start hover around would budge wire factory reset throughput go back theres clearly something wrong ont firmware infrastructure theres anyone work lumen want pass information along would great,Positive
'kwyu3wt',see several commercials quantum advertise price life month cl pfl month sync im run udmpro aps cant wait either able go fiber direct someone figure although downtime years ive,Positive
'kwzj0w5',think go ubiquiti route time need get setup way would want plan someday though brother law setup crazy good yes fiber direct would pretty sweet see fiber providers sure set way,Positive
'kx03e7c',vs ipoe nice market say native,Positive
'kx03pop',good thing pay denver transition months ago talk chat knowledgeable,Positive
'kx06636',think good thing service cost month price match price life,Positive
'kx115ja',work fine,Positive
'kx1l7iv',router everything still work factory reset im scar click button,Positive
'kx1zzh6',straightforward good thread https,Positive
'kx83ln3',apartments already motems everything well great get one download run upload run highly recommend,Positive
'kxgh9vf',ppp information enter vlan enable good,Positive
'kxhqie0',proud sure win drop opt extra pod,Positive
'kxl20cv',cool,Positive
'kxlz2x8',try turn transparent bridge connect unifi gear via dhcp fiber connection work dont need tag traffic bridge mode unit tag mine setup turn transparent bridge everything work expect pfsense though might tad different say mode dhcp grab ips super fast like nearly instantly far flawless,Positive
'kxm098y',theory theyve expand quickly infrastructure issue havent get hard proof concern issue wish best luck,Positive
'kxnejd5',thank much fix completely,Positive
'kxtuit5',recieved new cyber power backup supply girlfriends moms company put mine battery backup case thank comment make know okay,Positive
'kxwnjvh',awesome denver okay ill give customer service shoot thank,Positive
'kxwnkww',get quantum conversion smartnid turn option transparent bridge send dhcp without vlan firewalla gold plus omada setup wifi access point get full mbps long wireless client support definitely worth ditch pod opinion firewalla also let use tmobile home internet failover nice since centurylink fair share outages area years,Positive
'kxwoc52',could get whatever eero afford decent router great mesh setups need complex capabilities like vlan work systems charge annually,Positive
'kxy4gxh',like lucky,Positive
'kxyueo1',recommend enable lose connection hours fortunately quantum able fix chat sure coincidence turn back everything fine since,Positive
'kxyvk64',try appreciate thoughtfulness much,Positive
'ky0zy61',sound like area full upgrade much improve mostly new construction area plus google fiber right next door upgrade offer may push,Positive
'ky10fqo',power still bind thank ill give try,Positive
'ky1a5j3',almost certainly mac laptop hold lease ctl leave unplug plug router itll work like champ,Positive
'ky1egcv',work great thank,Positive
'ky1wj92',plug router remove mac clone work good,Positive
'ky2t2en',right wireless devices thats would expect bandwidth highest cell phone tablets support website cut market hype get reality https,Positive
'ky2tcgk',portland get stellar speed wireless pod easily house comment seem vary pod would get tech back new ones,Positive
'ky2vju4',pod might able go faster support well options would get closer stuff impressive fairly new range suck many devices support yet average phone tablet isnt go much better,Positive
'ky2yn26',new fiber setup work perfect xfinity setup router xfinity bad purchase nice router give better wireless performance would better plug pod directly pc instead pod router pc,Positive
'ky369nb',expect wireless connection youre go see much beyond gigabit worth note go see wire connections get higher end wifi aps,Positive
'ky3lea1',much share experience definitely think pod mid quality upgrade help achieve greater speed drop half speed room terminal first pod ridiculous,Positive
'ky3maiy',connection really beneficial hardwire low latency literally see directly connect compare pay comcast ish think win win router recommend toms hardware best mid range game router work also quad core cpu load everyone online like barely lift finger go router recommend one course plenty good ones,Positive
'ky3nsb4',hero show disconnect em one one come back im get solid upload download laptop phone etc omfg thank much,Positive
'ky73bgx',youll get smart nid wifi mesh pod free lease,Positive
'ky7vyuy',good try youre funny go back troll attempt,Positive
'ky7yj2q',also look verizon home internet available may cheaper need make sure get fast enough rate need,Positive
'ky8474w',currently tmobile customer consider signal apartment great high hop,Positive
'ky9hncq',kill pos flower pot still work fine keep say line power,Positive
'kya29zp',go call tomorrow amount people happy service give hope,Positive
'kya41ty',rock solid complaints hope turn around,Positive
'kya90b9',cool,Positive
'kyb5sor',connect directly smart nid eliminate router see get better likely always good rule things,Positive
'kye0tsq',home two pod work fine,Positive
'kyeaog2',tech pod show excellent connection devices connect drop every min,Positive
'kyjjuht',make total sense try set wan aggregation asus unfortunately didnt work know also want say really appreciate people like community able answer type question knowledge share appreciate much thank,Positive
'kyjlxqv',great design especially backhauled consider lucky youre xgs local residential gpon annoy issue,Positive
'kykk87c',get one https https ethernet throughout apartment instant internet modem bedroom closet someone come look tomorrow hopefully fix speed,Positive
'kylyhnv',sudden warn voicemail message go get warnning ahead time redo message record sound blurry addition get phone call one number voicemail older message another person delete ai bots take good job sign things come believe bright speed good product,Positive
'kyn0sde',asus work quantum fiber older centurylink ont outside house sure model keep vlan tag set disable pppoe install setup work great btw try join quantumfiber sub moderator approve membership ppl seem like quite bite interest sub throttle membership go help,Positive
'kyofwq6',home internet rn pretty alright except god awful latency ms wire,Positive
