MsgID,MsgBody,roberta_sentiment
'kvbjpll',worry person comment actually helpful want take aggression somebody online make feel better hope better day go forward,Positive
'kvbrnk5',user switch important source email icloud great,Positive
'kvok1lh',cool verizon plan long time still use coax cable,Positive
'kvr6j7w',case helpful anyone heres end today try cox auto response tell queue however hold music stop silence hang try call say hello time soon hear silent line hang even faster sure make use link instead https https thank barefootbam click get reconnected button end sightly less discount keep current plan since mbps pay promotional rate new version however mbps unlimited data plan also go add extra service new service sign list promotional plan call cox general customer service clarify say new promotion today minus months promotional plan id still love switch cheaper option like verizon since rent cox option seem like pretty decent solution im glad set months hope rest yall success thank much everyone list super helpful solutions comment appreciate yall,Positive
'kvtpr4r',stream entertainment like netflix many entertainment platforms game maybe good girlfriend believe perfect fit girlfriend choose wisely pick best price fit need girlfriend brother play game stream plus live stream plan gig know upload small hopefully upload go future best luck,Positive
'kvvff33',always upgrade speed need sign term agreement get discount go affect ability upgrade since game make sure get unlimited data kid game rest us stream go data limit time add unlimited congrats new apartment,Positive
'kvxjnv2',ok make sense oh well thank info,Positive
'kvylq1u',work call number tell want setup cancellation date even let setup date cancel gentleman phone give instant discount hopefully good true,Positive
'kw0maxt',cox supply gateway meh imo basic use perfectly fine personally go arris along side router combo work really well although bite pricey side,Positive
'kw207ur',see verizon avail yeah good options,Positive
'kw23nbf',actual store better luck,Positive
'kw29etx',pay month internet cox fine,Positive
'kw35tux',every isp seem region issue honestly depend youre market socal cox pretty damn good keep plant run tackle outages big problems fast,Positive
'kw40kb1',first cox best game town cable another fiber available stay email thats move yahoo viable imho ill switch gmail fiber,Positive
'kw5t6ki',cox anxiously await frontier become available sometime year,Positive
'kw68vw1',definitely get standalone router port forward check something like archer series theyre reliable pricey solid port forward options plug current setup good manage settings remote work also check thread check people say https,Positive
'kwciunx',update great news fiber home curious fiber box placement get put inside garage expose wire outside side home also old home hop cox upgrade older home fiber new construction,Positive
'kwda28q',great modems future proof ethernet port capable high split faster upload want able swap modem cox store warranty also consider technicolor https much come budget router come budget wifi requirements suggest wifi router devices arent compatible come wifi wifi however check devices see capable like asus routers good user interface imo lot options however others suggest seperate router wifi ap something like unifi look blind suggestion like pro dual port faster speed wifi good match go decent look save money,Positive
'kwl7dht',trust sales department matter tell juicy offer may sound like better trust tech department people honest sh sales retentions,Positive
'kwl87o2',lucky get fiber symetric service area really glad read problems service far well kinda expensive,Positive
'kwphbs5',tip would great could post cox forum https notice lot people confuse subject know app password know generic email account tip mention step thank,Positive
'kwr7j6q',well know market isps market lower comparable cost speed usually competition options good internet service cox landline approach neighborhood centurylink option dsl use monthly add cox bill unlimited data add vzw less allow route usage vzw home internet get benefit redundancy see really choice pay,Positive
'kwtfyku',much give try appreciate,Positive
'kwuempe',toss upvote make laugh loud thank,Positive
'kwwqk5o',thank info appreciate,Positive
'kwxo9z5',thank seem information correct,Positive
'kx1512e',call number get disconnect couple time get someone mention know exactly talk never get email bluff able activate old account months ago get unlimited data happy thank everyone post info,Positive
'kx1j18p',awesome cable business many years really enjoy repair part,Positive
'kx55nmy',do lab research center wont see wild anytime remotely soon something like would initially implement internet backbone providers increase throughput exist fiber comparison home internet speed make great headline would also allow cox providers increase throughput nod would prevent run additional line bandwidth use go,Positive
'kxa6fvj',perfectly honest really big baseball fan playoffs world series may want check subreddits ask question pertain particular app best advice ive watch sport tv years im base answer,Positive
'kxamiwx',keep email thing really compel us stay cox years claim improve customer experience laughable best shall see future hold,Positive
'kxf5xss',yall update take box cox indeed replace free also get ta say legit helpful subreddit ive ever post question im post update bc people keep reply lol kinda funny cox worst customer service yet unofficial sub best customer service ive thank everyone comment appreciate,Positive
'kxfjjqi',cox plus years less speed great consistent recently switch mobile less half price even bar connection get think im do cox unlimited compare ill deal ever issue come,Positive
'kxjnuyw',depend city closer per line line discount check imei number devices make sure approve cox mobile best bet find direct sales rep visit nearest cox retail location departments get best offer cox mobile get big discount internet bill cox,Positive
'kxzhvnc',connect assist program lower bill speed modem include overlap qualifications also school age children live house one month speed include modem also verizon try home internet go low unlimited data get much mbps data unlimited,Positive
'ky7fby3',probably dumb question call set disconnect date prior eligible get reconnected offer bill history increase also mbps plan click link post best offer online speed seem like great deal,Positive
'ky8rev5',promotion right cox make internet cheaper mobile example market cox cable internet unlimited data could save cox mobile definitely check service agreement read term condition tell exactly sign additionally check providers area example areas cox serve also serve fiber verizon fios google fiber may find cheaper faster reliable service go,Positive
'ky9oifk',yea hide fee go pay different price switch cell provider switch months back bill high like one line iphone pay say bundle phone would cut absolutely internet bill go great also get extra iphone son plus unlimited plan also great consistently bar live vegas near strip suburbs area live well develop though never signal issue soon enter local grocery store signal go straight sos weird importantly switch offer insurance call back next couple days prior get sons new phone tell late could longer get sign initially argue whole day rep offer let know circumstances yea pretty piss since teenager new iphone yea bill cut half,Positive
'kyaabu3',hear appreciate chat leave skeevy scamy ill give amplifier check morning thank,Positive
'kycitlg',general approach cox use offer lower monthly rate internet service mobile service cox provide decent imo use verizon wireless network need new mobile service provider perfectly happy service price receive verizon market las vegas gb plan get ask mention work home sure entail many ms team call week voice always video time also standard access apps cloud systems service oracle netsuite also devices connect network mostly iot smart devices wemo water meter smart irrigation etc tvs directv stream roku stream netflix prime etc tell service cox mb speed need work home support devices network meaningful thing saw different gb service time load roku stream channel perhaps another second additional time load everything fine gamer go back gb service recently pay recently upgrade true fiber service speed tier mb mb mb gb even gb symmetrical mean get download upload speed latency reduce significantly well ones cox internet service today supply via traditional cable upload mb mb want additional upload speed sync many file good amount large cloud storage many file change repeatedly depend work home need easily get lowest speed cox offer power work home tool imo stuff might use home game video etc thay may drive higher speed last comment especially since many folks work home since pandemic one problems connectivity consider mesh network days one device fade due demand many connect devices also use wire connect device use ethernet cable good luck,Positive
'kyd1w1x',arizona take equipment up store get receipt everythings do free easy cheesy nice peasy return equipment store get receipt equipment return would go back store say receipt problem solve,Positive
'kyezn0u',like bundle discount get nerfed see month plan vegas new customers get larger bundle discount probably good couple years,Positive
'kyk59a0',likely whatever data limit home internet come folks cox gateways though im guess thats terabytes unless youre pay unlimited im sure ive unlimited data also pretty decent mobile phone plan im pay,Positive
'kyk6je0',make sense thank,Positive
'kymexw6',high price internet unlimited data many customers stop pay already expensive cable tv switch stream online instead much cheaper itll literally cut bill half,Positive
'kyo17dn',get resolve im still curious level look good forward pretty high spec return spec look level tell theres splitter sure someone else mention amp say field tech preferably escalation tech need put ping plotter monitor issue look node see trend trouble call intermittent noise,Positive
