MsgID,MsgBody,roberta_sentiment
'kyh4o8z',poor comprehension skills clearly say second drop connection every hours even minutes always go unnoticed connection reestablish notice therefore create guise seamless flawless work connection even technically however past days get second drop connection every minutes mean everything get interrupt drop get disconnect game disconnect voice call etc whereas second connection drop get noticeable interference unless second still second drop dont get disconnect either game voice call go silent sound jumble moment reestablish noticeably happen every hours nothing complain clearly need water test since cant grasp fact perfectly work obstruct connection nearly one whole year past days neighbor stick dishy near mine like umbrella also cant seem grasp fact available option neighbour relocate dish anywhere per op clearly state wait landlord authorise roof mount please go obviously trigger try solve connection issue multiple hostile comment connection issue solve neighbor dishy bet suck hear huh,Negative
'kyh8z1q',forbid,Negative
'kyhag24',doubt telstra go bankrupt anytime soon,Negative
'kyhahx7',like expensive,Negative
'kyhe89o',much wind take damage,Negative
'kyhrf8k',cancel debit card auto take get new card w keep get email say bill wasnt pay idk happen next year didnt pay early cancellation fee anything guess im wait see finally stop email cant take money without card info auto pay card notâ bankâ,Negative
'kyi70oo',sadly still areas america pitiful result similar accept local land providers pay month two routers star align would get love starlink,Negative
'kyi8tsg',idea dont know exact reason venezuela wont allow license point thus cant suggest overcome,Negative
'kyifod1',rheem use econet starlink problems realize people rheem never hire anyone know rf go sound soooo stupid wifi antenna tank control panel surround degrees ground metal water basically degree dead zone rotate tank panel degree window wifi source hell connect stay connect turn tank degrees right connect problem quite dumbfound stupidness,Negative
'kyimzed',thing happen work year die yesterday randomly almost go crazy reset bypass multiple time read people issue send support ticket hope next connector last longer,Negative
'kyjiviz',reach starlink send new dish free downside isnt latest version guess beggers cant choosers,Negative
'kyjpdxi',starlink tell send generation cable instead generation need let return incorrect cable full refund well credit account month never get chance use service customer service,Negative
'kyjvx1f',cant self host fail service see say vpn another connection isnt way service like,Negative
'kyjy2k7',sorry service like need data center tell general service like would impossible setup home,Negative
'kyjzasa',dunno must im try argumentative dont get couldnt service home,Negative
'kyk13cw',prime cant access stack,Negative
'kyk1p5i',subscribe stack still cant access globaltv,Negative
'kyk1xsn',snark reddit man stack still unable access globaltv,Negative
'kyk20qv',suspect devices dont sufficient log able tell decisively,Negative
'kyk32ty',slow nothing like cell service everybody mobile phone nearly many starlink imo bad go get even everyone rv already wont use starlink tomorrow eclipse,Negative
'kyk3dij',eclipse thousands people rural areas swamp limit infrastructure,Negative
'kyk7zut',im data intensive stuff like game never notice occasional second dropouts know occur show system page lose signal reboot update otherwise seem tow load tvs stream program surveillance cams say neither service perfect bless ive never service fail time yet,Negative
'kyka7v2',comment completely irrelevant op,Negative
'kykawcf',provider nationalize otherwise still use heo satellite compete go fail soon sl drop area big provider basically go business service use heo satellite exclusively area absolute crap comparison see happen brics nations sign deal musk backend use sl network face customers,Negative
'kykaz8b',also doesnt anything tap update restart manually also didnt take care hop update automatically tonight,Negative
'kykbbgm',understand monitor sub starlink support terrible take two weeks get response let alone part,Negative
'kykywqz',know one simple request shark fricken lasers beam attach head,Negative
'kyl2tcf',mine faulty seemingly non replaceable poe adapter thingy weeks ago rip still get unit,Negative
'kyldn36',get middle move new house amid chaos move forget secure even roof yet fell foot enough break dish contact starlink yesterday explain fault reply say send new one completely free,Negative
'kylocn1',thats stupid,Negative
'kylvcxt',march fiber come summer though sadly say goodbye,Negative
'kylyr4e',see post happen seem issue affect gen mine stop work days ago support still hasnt resolve issue,Negative
'kym9ccn',question orbi orbi series satellite crazy nothing problems starlink gen finally figure need put switch orbi starlink actually talk however last weeks every single week week take everything reset entire system come many light lamps become quite irritate issue,Negative
'kymatc6',hughesnet live far expensive data cap latency high get job work remotely goal hear starlink today would cost get setup monthly payments would half unless get business plan equipment fee thousands monthly bill im pay hughesnet question know starlink acceptable latency meet ping requirements company work remotely dont want spend money switch find still wouldnt able use get remote,Negative
'kymd1v5',low bandwidth incredibly unreliable base space weather aka activity sun actual weather even crazy things like volcanic activity use world war ii global communication available time beside undersea cable besides short hop english channel wasnt practical cable lay ship wartime even plenty cable put prewar years shortwave travel atmosphere speed light air im curious limitations overcome application need high bandwidth beyond send market index,Negative
'kymne3k',walk starlink router power say doesnt work hand one obviously cant test store specifically access extend warranty im interest hear procedure,Negative
'kymtpd8',hasnt exactly prove politically neutral actor seem think player international stage level unreliability would absolutely unacceptable world power design critical infrastructure,Negative
'kymvz18',think try thing face issue delivery big problem,Negative
'kymy4vq',cloudy choctaw land charge truck might bust,Negative
'kyn7b07',thing dont like image big satellite compare earth nothing really without make difficult possibly impossible see type examples starlink sit roughly size medium size city,Negative
'kyn8cey',starlink logo thats kinda annoy really like local portal,Negative
'kynfhxa',billionaire stupid ask sell service russia clearly average average idiot,Negative
'kynkoay',post remove violate rule post clear link starlink,Negative
'kyno0i0',image like add fuel soon wont able see sun brigade lol,Negative
'kynq586',take mean every device stop work although sl connect bridge mode orbi connect reboot orbi alone reboot sl orbi unplug plug different order include unmanaged switch nothing work know double nat honestly drop without bridge mode also frustrate think orbi would straight plug play w sl hours research find need unmanaged switch even talk sl netgear customer support useless originally set clue,Negative
'kynq586',take mean every device stop work although myê sl connect bridge mode orbi connect reboot orbi alone reboot sl orbi unplug plug different order include unmanaged switch nothing know double nat honestly drop without bridge mode ê itõs also frustrate think orbi would straight plug play w sl hours research find need unmanaged switch even talk sl ê netgear customer support useless originally set clue,Negative
'kynryy6',outage line cgarts look unstable need consider remove adapters replugging cable make sure power supply stable,Negative
'kynryy6',outage line chart look unstable need consider remove adapters replugging cable make sure power supply stable,Negative
'kyns396',sneaky,Negative
'kynu2u0',would unspeakable things latency,Negative
'kynxj92',think owner face issue slow dowload speed outage,Negative
