MsgID,MsgBody,roberta_sentiment
'kyh37cq',average download upload way better thwn download upload get cable internet yes live bfe kentucky,Positive
'kyh3zvl',do worth try hope get soon though go insane,Positive
'kyhaske',really appreciate suggestion much car go previous sine wave inverter,Positive
'kyhc2j4',forecast us good anywhere except maine https https,Positive
'kyhcmuz',address could work,Positive
'kyhgs6l',inverter option work fine im understand comment much car involve less inverter starlink power supply starlink router vs diy dc power supply shorter cable starlink power supply starlink router photos two different configurations https https https https,Positive
'kyhi61a',could share six neighbour still great experience fraction cost,Positive
'kyhjuv3',congratulations new opportunity interest transparency zero experience areas id provide suggestions background back thats style give fact ive numerous interview involve hire manager senior engineer probably thing id say really generic advice id give anyone walk interview little bite confidence good thing carefully course dont want come across wrong way remember always perfectly okay dont know answer something ive make habit years extremely transparent question come something insufficient background answer sufficient precision eager learn gap show enthusiasm willingness grow learn might need little brush youd surprise many company will invest employee clearly capable enthusiastic will learn mean authority subject others might great suggestions depend company culture ive fortunate enough work company focus employee retention provide growth opportunities express sincere interest expand horizons always will invest additional train require work last years employer multiple different roles increase youve get leg educational background fantastic im school hard knock self teach ojt make way sr principal engineer lot hard work dedication best luck whatever lie ahead journey,Positive
'kyhlk0m',flo thats really helpful,Positive
'kyhntq4',hope get great shots,Positive
'kyhybhx',source great internet discover,Positive
'kyhzb1w',last time clear obstruction map reboot dish im suggest moment consider youre get better speed right youve see months great news mention ive notice reboot let map rebuild sometimes make significant difference least location cant explain would technical perspective certainly quite update recent time like fact retain obstruction data update quirky thing ive notice occassional reboot sometimes help example clear mine reboot morning significant change performance clear frequently see less weekend especially id consider peak stream time https https,Positive
'kyiowe3',speed good either amazon stick buffer lot read â know improve look assistance possibleâ,Positive
'kyipszt',thank amaze young sir,Positive
'kyiwq39',think would helpful others say state country live people reference work best simply worth cheer,Positive
'kyj0inn',worry metal zip tie thing rub cable otherwise congrats,Positive
'kyj9pwz',say fantastic time alive thank elon love starlink service,Positive
'kyjzjrx',look become new subscriber sure secure well,Positive
'kyk29co',clear map reboot thank,Positive
'kyk5fum',awesome delete thread look less dumb appreciate help,Positive
'kyk5na0',buy mine bestbuy last year didnt get warranty havent need buy mount kit bolt awning roof amazon perfect make sure make drip loop cable dont full weight cable pull connection dish,Positive
'kyk9yp2',think maybe starlink phone provider shrink pixelate much look telus price good sales pitch much money would good security backup,Positive
'kykbdit',work great,Positive
'kykdrz1',years gen rev still roll along lately better ever,Positive
'kyke8n0',gen hammer away years still get amaze speed never drop worst time back mbps upload ms latency also spare poe ship back stop manufacture gen incase mine ever fail havent need ever swap yet thankfully gen best dish make reason need perform good beta could positive review show world starlink perform go public,Positive
'kykg1ti',get round dishy still function great,Positive
'kykvjbk',people live rural areas non service areas first see speed come starlink like get hit bolt lightning absolute best options situations happier experience starlink tbh,Positive
'kyl344y',still go strong custom router,Positive
'kyl5odr',eat bag dicks starlinks still impressive technologically,Positive
'kyl64j0',customer report rock solid ever since never even issue,Positive
'kyl67z2',feel like need maker store ever anyone start could make world better place makers think dm,Positive
'kyl9pqw',unifi dream machine pro still go strong,Positive
'kylkjo1',live middle nowhere uk service cable lay starlink combine deco get incredible speed,Positive
'kyls1ml',untouched since jan zero issue thank sl hucking constant stream new sats speed greatly increase well buy gen back sale cdn backup still bench wait get game,Positive
'kyluvj2',well still go strong february,Positive
'kylwoi0',lucky winner drop rate great really tho could still router cable dish crappy design company land rocket boosters move ship also still support guess order router cable see happen hopefully dishy hope starlink return policy,Positive
'kylz5ne',since still go strong even salty air,Positive
'kym1tyg',year post hillsboro county wonder get starlink better comcast xfinity think might better option esp since power go often,Positive
'kym5s3b',slate ax router box work great issue change need,Positive
'kymbdqp',great ditch router though,Positive
'kyme2i9',stuff looove technical insights like heck rout protocol work use anything need time settle since change pretty quickly sound like mostly somehow settle quickest first available path grind traffic,Positive
'kymmwl1',happy hear motorhome depend entirely verizon hotspot internet speed usually superior starlink depend signal strength also access gudp grandfathered unlimited data plan use whatever want without deprioritization etc get difficult keep,Positive
'kymoa2y',great course like another say get app check obstructions coverage much use fine starlink quite reliable us course always problems pretty rare return undamaged full refund within days unacceptable,Positive
'kympzpr',wonderful surprise things turn well,Positive
'kymq7iz',removal useful info http still go strong,Positive
'kymr1hk',answer question itll cost plus mount options front plus per month youll install get good open view sky itll work fine,Positive
'kyn7x3j',get feel tased bring airport look like try bring plane otherwise look cool love portable design encase everything one unit affect speed connectivity,Positive
'kynjmej',mast certainly make huge difference use tripod telescope mast https https work perfect box gen add stainless steel tube starlink pipe adapter retrofit gen https https,Positive
'kynocsd',great job let alone properly balance connections put asus back fantastic,Positive
'kynocsd',didnõt great job let alone properly balance connections iõve put asus back fantastic,Positive
'kynr84n',know thank also new river think switch starlink tmobile internet nothing issue along full days without internet sound like would good,Positive
'kynrf43',sometimes even work better flat https modify flat car mount,Positive
'kynrf43',sometimes even work better flat https modify flat car mount,Positive
'kyns36y',gen dish install day still go strong northern california replace dsl freshtomato asus router,Positive
'kynsai6',thats nice ping gen location,Positive
'kynz9m3',see much faster actually true data travel faster space fiber still go true point point connection data rout numerous satellite travel one continent add small amount latency per satellite course also latency travel grind station satellite vice versa,Positive
'kyo0ft7',customer mine constantly sooo allure,Positive
'kyo0nmv',consider lucky use around january go great speed also drastically improve get august,Positive
'kyo0nmv',iõll consider lucky use around january go iõm itõs great speed also drastically improve get august,Positive
'kyo4bm7',crowd didnt get nearly bad predict starlink work great lucked cloud move way min start totality get see minutes totality move back awesome,Positive
'kyo67wy',use primary starlink bypass mode node connect quite well bridge routers rare time need reboot router part solid https,Positive
'kyo67wy',use primary starlink bypass mode node connect quite well bridge routers rare time need reboot router part solid https,Positive
'kyo80qk',know starlink starlink network still visible connect everything run great phone tv powerful enough go far enough use without use mesh network unfortunately buy orbi directly netgear october cover anything,Positive
'kyo80qk',know itõs starlink starlink network still visible connect everything run great phone tv itõs powerful enough doesnõt go far enough use without use mesh network unfortunately buy orbi directly netgear october cover anything,Positive
'kyocrtq',thing give realize starlink much bufferbloat mean link less bandwidth still responsive would surprise little sustain bandwidth actually need online activities sensitive latency bandwidth web server service request outside specific need like large file video model latency jitter way important starlink really good get better,Positive
'kyocrtq',thing give realize starlink much bufferbloat mean link less bandwidth still responsive would surprise little sustain bandwidth actually need ê online activities sensitive latency bandwidth web server wonõt service request outside specific need like large file video model latency jitter way important starlink really good get better,Positive
'kyof5od',gen dish orbi work fine nothing ethernet cable however completely different setup difference generation aux ethernet port starlink router plug orbis wan port starlink router give orbi ip address space orbi hand ips space double nated still get pretty good speed iirc gen dish use special ethernet adapter neighbor help set didnt switch starlink router something unique orbi require switch,Positive
'kyoh05d',im get zambia edit isp use get liquid fiber good day,Positive
'kyokdo3',express concern privacy license comment thank idea spacex put something cool,Positive
'kyotxjs',sentiment elon cool ca make follow rule everyone else covid vengeful ever since hes thin skin well dissappointed elons damage behavior starlink best option impressive,Positive
'kyov0h7',north stockholm friend vasa also decent speed sure exactly fast though,Positive
'kyp0lfn',pc wifi capabilities could connect ethernet use speedify bridge speed sure would efficient would solve packet spike issue think experience starlink warzone let know,Positive
'kyp1y4r',pretty good overall certainly miles better rural providers bite diy since support pretty hit miss doesnõt bother itõs decent option sure,Positive
'kyp2mds',yeah im excite try ill set parent finally face time without look like slide show lol get plenty handymen family diy issue try game thats probably one thing im expect work mainly play online game use use mobile hotspot game without issue wonder east texas starlink,Positive
'kyp7qwt',mine years update slow connectivity didnt wait stabilize send ticket send gen dish free month free service havent put yet tho original great,Positive
'kyp8qpp',better late itõs always especially peak hours theyõve improve network lot past youõre go largely mercy however busy cell people super lucky lower density others much biggest issue game lack nice flat ping starlink tend bounce fair bite noticeable game generally good enough game pretty amaze,Positive
'kyp9coi',mine stay around low highest love better windstream,Positive
'kypa0yi',pretty cool look circle shadow spot hole moon space station,Positive
