MsgID,MsgBody,roberta_sentiment
'kxey8c0',sure would scam,Negative
'kxf1zik',cgnat probably worst drawback tmhi use share ips users cant port forward way worse minecraft server youd amaze stuff doesnt work random one day traffic get rout one day rout neighbor thats tmhi really good option high speed internet,Negative
'kxg0xd4',wont use cgnat share ip people,Negative
'kxgkk1r',go hard troubleshoot without phone use reference could issue line tower issue something account sorry wish could help,Negative
'kxgpj58',find use extra bandwidth depend band connect cable use could gain nothing,Negative
'kxh6t7x',see add list reason wont switch iphone work iphone get annoy,Negative
'kxi0d1u',nothing issue insane ping packet loss ruin every game today terrible service couldnt even speed test packet loss today,Negative
'kxi73ip',happen couple weeks ago well call tmo say tower maintenance estimate finish date last week go weeks unusable internet,Negative
'kxi9766',sim swap business account portal need call support want try rule bad sim happen,Negative
'kxikrte',wouldnt happen cell booster would brand duo window base unit communicate interfere gateways wifi signal severely cant use home internet,Negative
'kxirpl4',crazy sa get higher ping nsa let say example use nsa get almost valorant stable time get spike thing sa use sa get like extra ping like rout suck idk tbh stable really care,Negative
'kxj6v65',home packet loss happen gateway test bad location keep move packet loss,Negative
'kxkjnmv',order tmaybe home internet today order ask rep nearest tower relation apt location close cross finger cant rock upload speed dog shit coaxial cable anymore,Negative
'kxkq107',cable option id go reliable tmhi either tmhi huge net trash,Negative
'kxwkz4x',full bar bad connection know bar dont mean much ive never bar kind speed get mine,Negative
'kxwmzos',sound right cant complain tmobile available provider comcast neighbor want charge run line place top similar speed offer vs pay still able play xbox fine cant play till next day theres update lol suck youre issue though,Negative
'kxwvvbv',lucky literally every gateway ive use flaw dfs cause google home nest thermostat lose mind,Negative
'kxx55m3',dont understand work direct connexion via ethernet gateway download time like morning maximum download didnt move gateway clear sunny day ive change nothing dont get,Negative
'kxxep03',time ive see post firmware update actually make things worse,Negative
'kxy1bct',cancel many issue upload speed drop,Negative
'kxy3ryt',use separate router hook internet box box router drop often really problems,Negative
'kxynvqs',stupid think stupid,Negative
'kxyo98t',think provision issue definitely call customer support might also defective unit way,Negative
'kxypajy',connect instead mine fuckin day last week wake next fine,Negative
'kxyprjx',stupid,Negative
'kxyq6wd',agree stupid signal strength speed others say call customer care acceptable opinion,Negative
'kxyquy1',support reddit lol mine get bar mbps upload wasnt always like though support hook new device reset signal device absolutely outrageous theyre screw though,Negative
'kxyrbx5',tower overly congest,Negative
'kxyro0j',want read faq post weve literally see hundreds post people get bar less mbps speed equal number post people get one bar gig speed bar matter sinr congestion sinr mean less stable connection speed issue connection drop need sinr yes get bar signal sinr worst sinr possible,Negative
'kxyrxzu',dont internet wireless get speed cant even play youtube spotify take forever facebook load,Negative
'kxyvi35',apparently common issue pay buck month op describe would ask support fix never personally experience big gap even travel wifi work except tower issue fix phone,Negative
'kxywrh0',wrong,Negative
'kxz1s8o',still doesnt really excuse anything,Negative
'kxz1yyj',agree common misconception,Negative
'kxz8p36',dont mean anything cell metrics,Negative
'kxzk5ru',sagemcom gateway always show bar display due firmware issue device report metrics post advance metrics tab tab give people start point help understand gateway receive signal truly isnt signal receive base metrics could number things congestion tower maintenance tower provision etc part reason bar matter doesnt show real picture signal receive,Negative
'kxzk6in',problems go tmobile store ask get replacement give old one ask whats wrong tell em likely get defective unit,Negative
'ky05exp',get bar mbps isnt normal second call store,Negative
'ky0i1x6',doesnt work cancel return isnt contract fee cancel go back old service provider,Negative
'ky0jup7',phone also tmobile get also crap tower hammer maintenance,Negative
'ky0qlxp',sign people even technically qualify service get sale pressure sell service result people get congestion cancel service put address location get service set customer address cancel service go right back cable crazy fast first get course year keep get slower slower point even stream,Negative
'ky13h42',go ive min hourly test since switch cox also placement anytime service slower number users last night slowest result upload speed hit hardest get min later morning lte signal full bar even slower speed experience buffer quality stuff dont play online game though read main issue home internet service still im pay instead almost buck cox even lower cox slower service tmhi win rsrp rsrq rssi sinr band lte rsrp rsrq rssi sinr band,Negative
'ky1jvw5',common problem easily find use search function nintendo use service mean users host game tmobile use cgnat mean ip address users mean nintendo wont work right since multiple users ip way fix use vpn service,Negative
'ky1tol3',status device refer combination signal strength ratio bunch metrics disclose combine standardise way air interface area highly contend youll see terrible throughout backhaul link service tower area highly contend youll see terrible throughout true youll see atrocious throughout way either network configuration issue within network problems fix upgrade,Negative
'ky1uran',tech illiterate moron friend moron moron would come say dumb things refuse listen educate seek information better stop put dude,Negative
'ky2coxw',add last reply would avoid use extender probably slow speed,Negative
'ky2dsm2',call support ask switch different tower ask ton question get tmobile internet weeks ago slowest speed megs fastest almost see tower front yard also near window cell tower internet isnt perfect isnt everyone,Negative
'ky2g5d6',absolutely outrageous theyre screw though must miss something op complain performance screw,Negative
